id,city,city_min_wage,building_area,land_area,bedroom,bathroom,kitchen,dining_room,living_room,storeroom,laundry,garage,carport,floor_count,cctv,ac,legality,negotiable,est_installment,price
16485450,jakarta barat,5067381,330,144,5,4,0,0,0,0,0,0,0,3.0,0,1,SHM,1,38668473,6000000000
16259319,jakarta timur,5067381,98,98,4,4,1,0,0,0,1,0,1,1.0,0,1,SHM,1,19978711,3100000000
16428489,bandung,3868638,387,250,5,5,0,0,0,1,0,1,2,2.0,0,0,SHM,1,48335591,7500000000
15320497,serang,4354748,400,275,6,4,0,0,0,0,0,0,0,2.0,0,1,SHM,1,13944552,75000000000
16100727,bekasi,5281346,83,70,3,2,0,0,0,0,0,2,2,2.0,1,1,SHM,1,3346692,900000000
16117113,tangerang selatan,4670791,130,120,5,4,1,0,0,0,1,0,2,2.0,1,1,SHM,1,12271206,3000000000
16485831,surabaya,4725479,80,119,2,1,0,0,0,0,0,0,1,1.0,0,0,SHM,1,9989355,1550000000
16485591,jakarta timur,5067381,155,125,4,4,0,0,0,0,1,0,1,2.0,1,1,SHM,1,25778982,4000000000
13023476,sukoharjo,2215482,180,105,3,2,1,0,0,0,1,0,2,2.0,1,1,SHM,1,6122508,950000000
14347537,jakarta selatan,5067381,100,103,4,3,0,0,0,0,1,0,1,2.0,0,0,SHM,1,10956067,1700000000
15624024,bekasi,5281346,98,91,2,2,0,0,0,0,0,0,0,1.0,0,0,Lainnya,1,7808949,1000000000
6490721,jakarta utara,5067381,140,80,4,3,0,0,0,0,0,1,0,2.0,0,0,SHM,1,7362723,98000000000
14602695,bandung,3868638,280,220,5,4,0,0,0,0,0,1,0,2.0,0,0,SHM,0,25456744,3950000000
16485502,subang,3294485,48,78,2,1,0,0,0,0,1,1,1,1.0,1,0,SHM,1,2900135,450000000
16485285,bogor,4696764,30,60,2,1,0,0,0,0,1,0,1,1.0,0,1,SHM,1,2964582,460000000
14836739,depok,4878612,130,130,4,4,1,0,0,0,0,1,1,1.0,0,0,SHM,1,4672440,725000000
15297471,tangerang,4681138,60,60,2,2,0,0,0,0,1,0,0,2.0,0,0,SHM,1,4201958,13000000000
16511083,tangerang,4681138,72,72,2,1,0,0,0,0,0,0,1,1.0,0,1,SHM,1,2602983,700000000
12900285,jakarta timur,5067381,168,220,5,4,0,0,0,0,0,0,0,1.0,0,0,HGB,1,17105317,6000000000
16477318,jakarta timur,5067381,320,161,4,3,1,0,0,1,1,1,2,3.0,0,1,SHM,1,31257015,4850000000
16441030,semarang,2913128,100,155,3,2,0,0,0,0,0,0,1,1.0,0,0,SHM,1,9667118,1500000000
15174199,jakarta barat,5067381,300,217,4,4,1,0,0,1,0,0,1,2.0,0,0,SHM,1,30934778,4800000000
16485378,tangerang,4681138,139,139,4,2,0,0,0,0,1,0,1,2.0,0,0,SHM,1,5542481,860000000
4388378,tangerang,4681138,120,90,4,3,0,0,0,0,0,0,0,2.0,0,0,SHM,1,14178440,2200000000
14926637,bandung,3868638,465,311,5,5,0,0,0,0,1,1,1,2.0,0,0,SHM,1,50269015,7800000000
16247313,jakarta timur,5067381,60,50,3,2,1,0,0,0,1,1,1,2.0,1,1,SHM,1,3866847,600000000
16485521,badung,3318628,135,104,2,2,0,0,0,0,0,1,0,1.0,0,0,SHM,1,12889491,2000000000
16485468,jakarta barat,5067381,160,200,3,3,0,0,0,0,0,1,1,3.0,0,0,SHM,1,21267660,3300000000
16485404,jakarta utara,5067381,260,187,5,4,0,0,0,0,1,1,2,2.0,1,0,SHM,1,47046642,7300000000
